token,solar_id,glm_id,same_id,cosine
Ġour,4699,1039,False,-0.017333541264430857
orm,4701,493,False,0.008827359789942016
ition,4705,680,False,0.03399977493244925
Ġwhe,4706,14882,False,0.031942870159383685
ang,4711,524,False,0.01949307047709775
all,4713,541,False,-0.03392872235462882
Ġbut,4716,714,False,0.006563693709760553
ance,4720,681,False,0.01392842269973028
ther,4724,696,False,0.011609168722354601
int,4727,396,False,-0.012836601823781544
ard,4728,567,False,0.007165580740859908
ical,4730,938,False,-0.013527203541826145
Ġeach,4731,1817,False,-0.005053934859889765
Ġcont,4736,683,False,-0.0029947245662973296
ign,4738,622,False,0.0037858053557205842
math,4740,10369,False,0.005750007864452416
ame,4742,373,False,-0.0021013790307882903
ments,4743,1368,False,0.022669128726844505
Ġnum,4747,1629,False,-0.008488463676858104
ould,4751,616,False,-0.0034682248059391537
ans,4754,596,False,-0.014822082117183479
any,4755,3767,False,0.007634363141232708
rent,4761,7975,False,-0.003993883181216023
ord,4765,539,False,0.00389165718090362
rac,4768,19921,False,-0.02301587852870121
ome,4769,635,False,0.017839232706883555
erm,4771,4195,False,0.02517682261577614
Ġval,4773,1044,False,0.01009195983457467
Ġwas,4774,572,False,-0.008497473784721387
Ġexp,4776,1343,False,-0.006608652515159287
Ġint,4781,526,False,-0.0029888242732881883
Ġpos,4784,1133,False,-0.006727711498133918
ens,4785,724,False,0.021941610007885255
ell,4786,613,False,0.02464972936169302
ide,4787,577,False,-0.01876718493227922
Ġfin,4789,1875,False,0.009086616854725657
ire,4790,554,False,0.027065538423223442
ite,4798,632,False,0.01487665475029105
ction,4799,407,False,-0.005796889709790145
our,4800,413,False,0.021274952666421928
ass,4801,395,False,-0.002085068697342866
ary,4802,658,False,-0.012830832237705867
Ġmod,4805,1463,False,-0.009187609687966367
unt,4811,3850,False,-0.006736881886134535
Ġthen,4812,1221,False,-0.010087982927803895
blem,4813,10116,False,-0.028173753219906877
ree,4814,765,False,0.006574648431860732
ime,4815,545,False,0.03096383514740811
tern,4820,4160,False,-0.010696095006431832
Ġequ,4824,3232,False,-0.014067574247968886
Ġass,4827,1071,False,-0.011923363077996327
Ġinc,4830,3625,False,-0.007724284642060418
Ġproblem,4834,3491,False,0.001428237755729851
Ġhas,4835,702,False,0.005741825820491899
Ġsub,4836,1186,False,-0.01827111968717814
form,4837,627,False,-0.006532415007211469
ates,4839,973,False,-0.010847491623586019
ode,4840,534,False,0.022541333787412417
anc,4842,1129,False,0.006853914991769985
omm,4845,19749,False,0.03334463377138854
Ġmay,4849,1231,False,-0.005788865655037888
ors,4850,1087,False,0.006793953698510079
ĠComp,4853,13309,False,0.013754080189402617
ous,4854,782,False,-0.007697375678517023
text,4855,1318,False,-0.014153989783534085
clud,4856,1485,False,0.010984894144493397
Wait,4857,14181,False,-0.02676468011706004
frac,4863,36825,False,0.020508640471424287
are,4866,546,False,0.004938302195376758
ener,4869,798,False,-0.017509554574398498
ents,4874,805,False,-0.014449391647693205
ible,4875,1238,False,-0.014561159379237482
Ġappro,4876,2984,False,-0.018053190613702568
Ġcons,4877,1585,False,-0.005946458245071111
Ġother,4878,1008,False,-0.014797923670181484
But,4881,3983,False,-0.014389072398691607
irst,4882,864,False,-0.019630261734041202
ample,4889,1516,False,-0.015635657313006302
duct,4892,1058,False,0.029197210099197294
Ġacc,4893,1029,False,0.01231378367910692
ual,4894,928,False,0.01205039543932764
ice,4898,558,False,0.011428428334865027
put,4900,628,False,-0.007246647949994864
Ġsum,4901,2629,False,-0.016885360733287898
ear,4902,682,False,-0.016682579233521004
low,4908,10298,False,0.005013809343043486
ince,4912,1701,False,0.013259119511641793
ose,4913,960,False,-0.014045179991645
ong,4920,644,False,0.007824490944923638
ast,4921,559,False,-0.028671806668262967
cal,4922,5416,False,-0.02706769950268771
ork,4923,669,False,9.150169537289237e-05
str,4924,495,False,0.012076192082400208
Ġinte,4928,28190,False,-0.013379825903055425
ond,4930,2111,False,-0.02278655573817732
ress,4931,673,False,0.019732400158131186
Ġsuch,4932,1741,False,0.011572566154252612
ively,4934,3132,False,-0.016496518222094875
Ġwould,4938,1035,False,0.0019862741825943894
ace,4941,578,False,-0.03230033901461254
his,4943,25157,False,0.014265392117913852
Ġnumber,4945,1372,False,0.028006278822493416
Ġout,4947,700,False,0.001575181211416415
ert,4948,529,False,-0.009026646498951456
ata,4949,459,False,0.005904418733987965
ĠCompany,4950,8187,False,-0.0016851775239128232
ock,4951,1176,False,-0.010156612746498393
Ġdif,4952,1396,False,-0.0016595199146351189
gin,4953,8162,False,0.012812778922606814
ack,4954,473,False,0.0063789875998292184
erv,4956,648,False,0.015005460296605981
Ġtwo,4957,1378,False,-0.008289004450557346
ari,4959,2780,False,-0.003967669582535247
old,4962,813,False,-0.008479110986914961
Ġrec,4963,1395,False,0.0016799731725559478
Ġpart,4965,949,False,0.005812451776038457
qrt,4966,8139,False,0.0010944081077324207
ence,4967,763,False,0.029718389583487884
ased,4968,1475,False,-0.011811010967187813
Ġone,4980,825,False,-0.031338324658890096
Ġdis,4981,827,False,-0.002267273200736842
ities,4982,1361,False,-0.01632585254924921
ific,4986,1086,False,0.003909325852333163
urn,4990,399,False,0.040876412102270394
Ġits,4991,1181,False,0.013635094648066448
vel,4993,889,False,0.017077133450324827
ject,4995,583,False,0.019137211640444463
Ġset,4999,738,False,0.01414084273406781
ative,5001,1388,False,0.004941654794726446
Ġrep,5006,2064,False,-0.026949174744223467
ility,5010,1403,False,-0.004025313680645922
Ġany,5011,894,False,-0.00859674356967994
Ġterm,5012,4647,False,-0.0053542772900730205
Ġmat,5014,5517,False,0.0021379379865763683
ount,5015,629,False,0.004888381553400734
Ġfun,5017,2464,False,0.010858816380843923
Ġstr,5018,607,False,0.0011503806327452246
ating,5019,1095,False,0.0012167090065810205
Ġthere,5021,1052,False,-0.012570573805001562
ize,5022,551,False,0.019809579505690567
ute,5025,1070,False,0.002992955381855879
ĠBut,5027,1988,False,-0.012256905513683464
Ġrel,5031,1351,False,-0.019082398503195628
ark,5035,838,False,0.0028136608052320975
eth,5036,769,False,0.017046288818960812
Ġadd,5037,912,False,0.006514318425753648
lic,5039,415,False,-0.012883369822253682
Ġwill,5040,686,False,-0.0029342708047350847
Ġimp,5044,3163,False,-0.016210799211364375
Ġwhere,5045,1380,False,0.031451050491377384
Ġfirst,5048,1156,False,-0.002439610595733025
air,5049,1310,False,0.01372556520039931
rib,5051,1897,False,0.005911645853155016
ution,5052,1488,False,-0.003285283247395929
ile,5054,457,False,0.001176296809794671
Ġyou,5055,498,False,-0.0006398696841186827
Ġpre,5056,855,False,-0.019787964657390213
Ġneed,5057,1184,False,-0.008362444032393104
Ġinclud,5058,1798,False,0.011475947778548526
Ġmin,5060,1308,False,-0.025188159813665883
Ġele,5067,10505,False,0.007692560484684118
ange,5071,844,False,-0.007786015692684785
Ġund,5072,2030,False,-0.013994799671631884
Ġrequ,5073,5892,False,-0.004389898090805486
Ġinv,5078,1529,False,-0.0058751452730094016
Ġcomm,5082,1063,False,0.017736719014905207
Ġvalue,5084,897,False,-0.013998990083394324
Ġcol,5089,1375,False,0.003938062702925511
ption,5090,560,False,0.01928656209615131
Ġreg,5091,1217,False,0.010761938263515885
ail,5092,604,False,-0.009945263840565741
iven,5093,2071,False,-0.011004727038126624
aus,5097,11849,False,-0.017047093582288314
ake,5098,726,False,0.00976415723888869
ost,5101,535,False,-0.014389067813208874
ection,5104,11909,False,-0.00010735045958402166
Ġret,5106,2112,False,-0.004745749038144399
Ġform,5110,1352,False,-0.019839465182722248
Ġover,5111,916,False,-0.00957728027687393
der,5112,1107,False,-0.03034892839018874
